t, v_lightCube, v_heavyCube, x(t)_lightCube, x(t)_heavyCube
0.005,1,0,6,10
0.01,1,0,6.005,10
0.015,1,0,6.01,10
0.02,1,0,6.015,10
0.025,1,0,6.02,10
0.03,1,0,6.025001,10
0.035,1,0,6.030001,10
0.04,1,0,6.035001,10
0.04499999,1,0,6.040001,10
0.04999999,1,0,6.045001,10
0.05499999,1,0,6.050001,10
0.05999999,1,0,6.055001,10
0.06499999,1,0,6.060001,10
0.06999999,1,0,6.065001,10
0.075,1,0,6.070002,10
0.08,1,0,6.075002,10
0.085,1,0,6.080002,10
0.09,1,0,6.085002,10
0.09500001,1,0,6.090002,10
0.1,1,0,6.095002,10
0.105,1,0,6.100002,10
0.11,1,0,6.105002,10
0.115,1,0,6.110003,10
0.12,1,0,6.115003,10
0.125,1,0,6.120003,10
0.13,1,0,6.125003,10
0.135,1,0,6.130003,10
0.14,1,0,6.135003,10
0.145,1,0,6.140003,10
0.15,1,0,6.145003,10
0.155,1,0,6.150003,10
0.16,1,0,6.155004,10
0.165,1,0,6.160004,10
0.17,1,0,6.165004,10
0.175,1,0,6.170004,10
0.18,1,0,6.175004,10
0.185,1,0,6.180004,10
0.19,1,0,6.185004,10
0.1949999,1,0,6.190004,10
0.1999999,1,0,6.195004,10
0.2049999,1,0,6.200005,10
0.2099999,1,0,6.205005,10
0.2149999,1,0,6.210005,10
0.2199999,1,0,6.215005,10
0.2249999,1,0,6.220005,10
0.2299999,1,0,6.225005,10
0.2349999,1,0,6.230005,10
0.2399999,1,0,6.235005,10
0.2449999,1,0,6.240005,10
0.2499999,1,0,6.245006,10
0.2549999,1,0,6.250006,10
0.2599999,1,0,6.255006,10
0.2649999,1,0,6.260006,10
0.2699999,1,0,6.265006,10
0.2749999,1,0,6.270006,10
0.2799999,1,0,6.275006,10
0.2849999,1,0,6.280006,10
0.2899999,1,0,6.285007,10
0.2949999,1,0,6.290007,10
0.2999999,1,0,6.295007,10
0.3049999,1,0,6.300007,10
0.3099999,1,0,6.305007,10
